iter	MultiClass
0	1.99963251
1	1.923669606
2	1.849352169
3	1.771629574
4	1.714381541
5	1.675397072
6	1.645010686
7	1.607640323
8	1.58013356
9	1.553602419
10	1.533935661
11	1.512261455
12	1.496275909
13	1.479477418
14	1.467079908
15	1.453960365
16	1.440079176
17	1.428876687
18	1.419042926
19	1.408399258
20	1.398796181
21	1.391141842
22	1.383117415
23	1.375765417
24	1.367732049
25	1.359119832
26	1.353619659
27	1.347666864
28	1.342127862
29	1.338221795
30	1.331922099
31	1.32791245
32	1.32214426
33	1.318889634
34	1.314328941
35	1.306374351
36	1.302198304
37	1.296731219
38	1.289219989
39	1.284193285
40	1.28186038
41	1.278827162
42	1.272092638
43	1.26828012
44	1.264692374
45	1.262212406
46	1.259926921
47	1.254759276
48	1.252440293
49	1.249883439
50	1.246917122
51	1.24448933
52	1.24027894
53	1.235050426
54	1.23049473
55	1.225113676
56	1.220394646
57	1.21611596
58	1.21175254
59	1.208631653
60	1.20468887
61	1.200899942
62	1.19683754
63	1.192836602
64	1.190626139
65	1.186305928
66	1.184174111
67	1.180586482
68	1.177800914
69	1.17399038
70	1.172106097
71	1.167904293
72	1.164256055
73	1.160944072
74	1.157920407
75	1.155570578
76	1.152351896
77	1.149590691
78	1.147221552
79	1.14443167
80	1.141510025
81	1.13967552
82	1.137488041
83	1.135361432
84	1.133438298
85	1.131021975
86	1.128543619
87	1.125789196
88	1.123531036
89	1.121805884
90	1.11974293
91	1.117829801
92	1.116267845
93	1.114377136
94	1.113044196
95	1.110573947
96	1.108827482
97	1.106700379
98	1.105383395
99	1.103469322
