iter	Passed	Remaining
0	0	87
1	1	76
2	2	71
3	2	66
4	3	64
5	4	64
6	4	64
7	5	61
8	6	61
9	6	60
10	7	60
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	49
24	16	48
25	16	47
26	17	46
27	17	44
28	18	44
29	18	42
30	19	42
31	19	41
32	20	40
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	34
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	64	0
